primary;category
auto_customization;Shopping, Errands
seafood_restaurant;Social, Cultural
language_school;Social, Cultural
toy_store;Shopping, Errands
campground;Recreational, Outdoors
boat_rental_and_training;Recreational, Outdoors
art_school;Social, Cultural
office_equipment;Shopping, Errands
business_consulting;Others / Not sure
steakhouse;Social, Cultural
korean_grocery_store;Shopping, Errands
freight_forwarding_agency;Others / Not sure
copywriting_service;Others / Not sure
discount_store;Shopping, Errands
national_park;Recreational, Outdoors
podiatrist;Healthcare and Health
history_museum;Social, Cultural
miniature_golf_course;Recreational, Outdoors
hair_stylist;Recreational, Outdoors
ski_resort;Recreational, Outdoors
airport_terminal;Others / Not sure
florist;Shopping, Errands
police_department;Others / Not sure
skate_park;Recreational, Outdoors
youth_organizations;Social, Cultural
pier;Recreational, Outdoors
urban_farm;Recreational, Outdoors
courthouse;Others / Not sure
chemical_plant;Others / Not sure
construction_management;Others / Not sure
bridal_shop;Shopping, Errands
eye_care_clinic;Healthcare and Health
vitamins_and_supplements;Shopping, Errands
tea_room;Social, Cultural
catholic_church;Social, Cultural
bowling_alley;Recreational, Outdoors
boat_dealer;Shopping, Errands
auditorium;Social, Cultural
painting;Others / Not sure
importers;Others / Not sure
investing;Others / Not sure
horse_riding;Recreational, Outdoors
legal_services;Others / Not sure
beauty_product_supplier;Shopping, Errands
optometrist;Healthcare and Health
specialty_school;Social, Cultural
plastic_surgeon;Healthcare and Health
rock_climbing_spot;Recreational, Outdoors
psychotherapist;Healthcare and Health
general_dentistry;Healthcare and Health
vocational_and_technical_school;Education
turkish_restaurant;Social, Cultural
party_supply;Shopping, Errands
internet_marketing_service;Others / Not sure
metal_fabricator;Others / Not sure
mosque;Social, Cultural
sunglasses_store;Shopping, Errands
surgical_appliances_and_supplies;Shopping, Errands
pool_billiards;Recreational, Outdoors
record_label;Social, Cultural
chicken_restaurant;Social, Cultural
biotechnology_company;Others / Not sure
clothing_company;Shopping, Errands
sports_wear;Shopping, Errands
towing_service;Others / Not sure
gift_shop;Shopping, Errands
food_beverage_service_distribution;Others / Not sure
middle_eastern_restaurant;Social, Cultural
senior_citizen_services;Healthcare and Health
beer_garden;Social, Cultural
radio_station;Social, Cultural
books_mags_music_and_video;Shopping, Errands
social_media_agency;Others / Not sure
venue_and_event_space;Social, Cultural
botanical_garden;Recreational, Outdoors
organic_grocery_store;Shopping, Errands
custom_clothing;Shopping, Errands
gastropub;Social, Cultural
b2b_electronic_equipment;Others / Not sure
dog_trainer;Others / Not sure
airport_lounge;Others / Not sure
car_inspector;Others / Not sure
bubble_tea;Social, Cultural
armed_forces_branch;Others / Not sure
medical_center;Healthcare and Health
middle_school;Education
social_and_human_services;Social, Cultural
private_association;Social, Cultural
